date,away,away_pts,home,home_pts,a_mov,h_mov,a_ORtg,h_ORtg,a_DRtg,h_DRtg,a_NRtg,h_NRtg,a_mov/a,h_mov/a,a_ORtg/a,h_ORtg/a,a_DRtg/a,h_DRtg/a,a_NRtg/a,h_NRtg/a,winner
2021-11-23,Dallas Mavericks,112.0,Los Angeles Clippers,104.0,-1.88,3.71,107.64,106.57,109.48,103.34,-1.84,3.23,-1.97,3.82,108.09,105.42,110.06,102.12,-1.97,3.31,away
2021-11-24,Phoenix Suns,120.0,Cleveland Cavaliers,115.0,7.06,-0.28,111.44,106.87,104.43,107.13,7.01,-0.26,4.74,0.94,109.78,107.12,105.12,106.14,4.67,0.98,away
2021-11-24,Los Angeles Lakers,124.0,Indiana Pacers,116.0,-3.68,2.05,106.12,109.37,109.77,107.27,-3.65,2.1,-4.99,2.72,106.02,108.84,110.97,106.05,-4.95,2.8,away
2021-11-24,Charlotte Hornets,106.0,Orlando Magic,99.0,-0.95,-9.94,110.07,102.68,110.87,112.73,-0.8,-10.05,0.86,-9.26,111.12,102.56,110.12,111.87,1.0,-9.3,away
2021-11-24,Brooklyn Nets,123.0,Boston Celtics,104.0,3.83,2.78,110.37,108.85,106.35,105.99,4.02,2.86,3.1,1.54,110.41,108.83,107.12,107.17,3.29,1.65,away
2021-11-24,Chicago Bulls,113.0,Houston Rockets,118.0,3.17,-11.24,110.09,98.6,107.02,109.68,3.07,-11.08,3.6,-11.35,110.05,98.77,106.53,109.96,3.51,-11.19,home
2021-11-24,Toronto Raptors,126.0,Memphis Grizzlies,113.0,-0.06,-4.76,111.31,110.69,111.34,115.63,-0.04,-4.94,1.37,-3.43,112.25,112.28,110.83,115.89,1.41,-3.62,away
2021-11-24,Detroit Pistons,93.0,Milwaukee Bucks,114.0,-8.65,1.5,102.49,109.35,111.34,107.83,-8.85,1.52,-7.71,0.44,102.7,108.95,110.56,108.45,-7.86,0.5,home
2021-11-24,Miami Heat,101.0,Minnesota Timberwolves,113.0,7.44,2.12,113.26,108.97,105.68,106.55,7.58,2.42,7.12,0.09,113.72,108.66,106.48,108.4,7.25,0.26,home
2021-11-24,Washington Wizards,102.0,New Orleans Pelicans,127.0,2.12,-9.05,108.18,104.43,106.17,113.68,2.0,-9.24,2.82,-7.62,107.42,105.0,104.66,112.83,2.76,-7.82,home
2021-11-24,Utah Jazz,110.0,Oklahoma City Thunder,104.0,9.06,-7.29,116.02,101.0,106.69,108.48,9.33,-7.48,8.68,-7.06,115.03,101.4,106.09,108.61,8.94,-7.21,away
2021-11-24,Atlanta Hawks,124.0,San Antonio Spurs,106.0,0.78,-2.63,113.21,106.27,112.39,108.96,0.81,-2.68,1.63,-4.4,114.26,106.29,112.56,110.79,1.7,-4.5,away
2021-11-24,Philadelphia 76ers,96.0,Golden State Warriors,116.0,2.11,13.12,113.83,114.51,111.57,101.26,2.26,13.26,1.98,11.07,113.18,113.75,111.06,102.58,2.11,11.17,home
2021-11-24,Portland Trail Blazers,121.0,Sacramento Kings,125.0,1.67,-2.33,114.07,109.35,112.41,111.9,1.67,-2.55,2.39,-1.21,115.07,109.51,112.75,110.91,2.32,-1.4,home
2021-11-26,Detroit Pistons,96.0,Los Angeles Clippers,107.0,-9.33,3.06,102.01,106.45,111.55,103.84,-9.54,2.6,-8.4,3.38,102.26,105.42,110.79,102.52,-8.53,2.9,home
2021-11-26,Minnesota Timberwolves,115.0,Charlotte Hornets,133.0,2.67,-0.55,109.12,109.95,106.18,110.36,2.95,-0.41,1.61,0.47,109.18,110.68,107.44,110.06,1.74,0.62,home
2021-11-26,Phoenix Suns,118.0,New York Knicks,97.0,6.94,0.83,111.77,110.14,104.88,109.27,6.89,0.87,5.15,-0.93,110.45,109.65,105.39,110.5,5.06,-0.86,away
2021-11-26,Chicago Bulls,123.0,Orlando Magic,88.0,2.74,-9.79,109.96,102.57,107.3,112.47,2.66,-9.9,2.54,-9.26,109.92,102.34,107.44,111.63,2.48,-9.29,away
2021-11-26,Toronto Raptors,97.0,Indiana Pacers,114.0,0.63,1.55,112.52,109.3,111.82,107.67,0.7,1.63,1.29,1.75,112.76,108.62,111.38,106.76,1.38,1.86,home
2021-11-26,Atlanta Hawks,132.0,Memphis Grizzlies,100.0,1.68,-5.22,113.95,111.23,112.21,116.67,1.75,-5.44,2.1,-3.68,114.83,112.8,112.64,116.71,2.18,-3.91,away
2021-11-26,Washington Wizards,101.0,Oklahoma City Thunder,99.0,0.61,-7.22,107.6,101.37,107.04,108.77,0.56,-7.41,0.81,-6.2,106.6,102.07,105.8,108.42,0.8,-6.34,away
2021-11-26,Boston Celtics,88.0,San Antonio Spurs,96.0,1.63,-3.53,108.82,106.43,107.15,110.04,1.67,-3.61,0.55,-4.78,108.82,106.5,108.18,111.4,0.63,-4.9,home
2021-11-26,Milwaukee Bucks,120.0,Denver Nuggets,109.0,2.53,-0.17,109.66,108.01,107.1,108.14,2.56,-0.14,0.9,0.6,109.15,107.15,108.18,106.53,0.96,0.62,away
2021-11-26,New Orleans Pelicans,98.0,Utah Jazz,97.0,-7.35,8.89,105.31,115.9,112.89,106.74,-7.58,9.16,-5.8,8.17,106.12,114.97,112.16,106.54,-6.04,8.43,away
2021-11-26,Portland Trail Blazers,103.0,Golden State Warriors,118.0,1.37,13.5,114.43,114.59,113.07,100.96,1.37,13.63,1.99,11.97,115.26,113.87,113.34,101.8,1.91,12.08,home
2021-11-26,Sacramento Kings,141.0,Los Angeles Lakers,137.0,-2.0,-3.1,110.18,106.58,112.38,109.67,-2.21,-3.09,-0.68,-4.18,110.2,106.61,111.08,110.78,-0.88,-4.17,away
2021-11-27,Minnesota Timberwolves,121.0,Philadelphia 76ers,120.0,1.58,0.95,109.32,112.89,107.46,111.8,1.86,1.09,0.59,1.52,109.39,112.61,108.64,110.96,0.75,1.65,away
2021-11-27,New York Knicks,99.0,Atlanta Hawks,90.0,-0.32,3.2,109.65,114.88,109.98,111.62,-0.33,3.26,-1.62,3.36,109.38,115.37,110.97,111.93,-1.6,3.44,away
2021-11-27,Phoenix Suns,113.0,Brooklyn Nets,107.0,7.68,4.63,112.37,111.29,104.69,106.44,7.68,4.85,5.85,3.89,110.97,111.44,105.15,107.33,5.82,4.11,away
2021-11-27,Miami Heat,107.0,Chicago Bulls,104.0,6.42,4.35,112.55,110.68,105.99,106.38,6.56,4.3,5.84,3.55,112.91,110.51,106.94,107.0,5.98,3.5,away
2021-11-27,Orlando Magic,92.0,Cleveland Cavaliers,105.0,-11.05,-0.53,101.89,107.2,113.06,107.7,-11.17,-0.5,-10.38,0.76,101.75,107.49,112.18,106.7,-10.43,0.79,home
2021-11-27,Charlotte Hornets,143.0,Houston Rockets,146.0,0.33,-10.33,110.94,99.36,110.48,109.56,0.45,-10.2,1.22,-10.26,111.64,99.62,110.29,109.76,1.35,-10.14,home
2021-11-27,Washington Wizards,120.0,Dallas Mavericks,114.0,0.68,-1.29,107.54,107.92,106.89,109.17,0.64,-1.26,0.59,-1.1,106.68,108.76,106.11,109.9,0.57,-1.14,away
2021-11-27,New Orleans Pelicans,105.0,Utah Jazz,127.0,-6.95,8.37,105.12,115.09,112.3,106.47,-7.17,8.62,-5.16,7.49,105.9,114.03,111.27,106.31,-5.37,7.72,home
2021-11-28,Golden State Warriors,105.0,Los Angeles Clippers,90.0,13.58,3.47,114.97,106.43,101.24,103.39,13.73,3.04,12.24,3.14,113.94,105.23,101.57,102.56,12.36,2.68,away
2021-11-28,Milwaukee Bucks,118.0,Indiana Pacers,100.0,2.95,2.29,110.49,109.92,107.48,107.5,3.01,2.42,1.35,2.49,110.36,109.03,108.93,106.39,1.43,2.64,away
2021-11-28,Sacramento Kings,101.0,Memphis Grizzlies,128.0,-1.7,-6.63,110.37,110.66,112.3,117.5,-1.93,-6.84,-0.57,-5.18,110.38,111.75,111.16,117.14,-0.78,-5.39,home
2021-11-28,Boston Celtics,109.0,Toronto Raptors,97.0,1.15,-0.25,107.99,112.1,106.83,112.35,1.17,-0.25,-0.07,0.41,107.67,112.55,107.68,112.12,-0.02,0.43,away
